k1_m2,k2_m2,half_trace_x,half_trace_y,stable,qx_principal,qy_principal
12.754999999999999,,3.2259520212026738,-4.0339513647299405,False,,
12.760000000000002,,3.227310444088996,-4.035755156928245,False,,
12.765,,3.2286689498263237,-4.037558819678356,False,,
12.77,,3.230027538417077,-4.0393623529842415,False,,
12.775000000000002,,3.231386209863672,-4.041165756849861,False,,
12.780000000000001,,3.232744964168525,-4.0429690312791795,False,,
12.785,,3.2341038013340544,-4.044772176276158,False,,
12.79,,3.235462721362676,-4.04657519184476,False,,
12.795000000000002,,3.236821724256809,-4.048378077988953,False,,
12.8,,3.2381808100188674,-4.050180834712689,False,,
12.805,,3.2395399786512726,-4.05198346201994,False,,
12.810000000000002,,3.2408992301564403,-4.053785959914666,False,,
12.815000000000001,,3.2422585645367867,-4.0555883284008285,False,,
12.82,,3.2436179817947313,-4.05739056748239,False,,
12.825,,3.244977481932689,-4.059192677163311,False,,
12.830000000000002,,3.24633706495308,-4.060994657447559,False,,
12.835,,3.24769673085832,-4.062796508339087,False,,
12.84,,3.249056479650829,-4.064598229841867,False,,
12.844999999999999,,3.2504163113330202,-4.066399821959854,False,,
12.850000000000001,,3.2517762259073173,-4.068201284697013,False,,
12.855,,3.253136223376135,-4.070002618057306,False,,
12.86,,3.25449630374189,-4.071803822044694,False,,
12.865000000000002,,3.2558564670070034,-4.073604896663139,False,,
12.870000000000001,,3.257216713173889,-4.0754058419166,False,,
12.875,,3.2585770422449674,-4.077206657809041,False,,
12.879999999999999,,3.2599374542226567,-4.079007344344425,False,,
12.885000000000002,,3.261297949109375,-4.080807901526711,False,,
12.89,,3.26265852690754,-4.082608329359861,False,,
12.895,,3.264019187619568,-4.084408627847834,False,,
12.900000000000002,,3.2653799312478817,-4.086208796994596,False,,
12.905000000000001,,3.266740757794894,-4.088008836804102,False,,
12.91,,3.2681016672630263,-4.0898087472803155,False,,
12.915,,3.2694626596546965,-4.0916085284272,False,,
12.920000000000002,,3.270823734972324,-4.093408180248715,False,,
12.925,,3.2721848932183253,-4.095207702748818,False,,
12.93,,3.2735461343951204,-4.097007095931473,False,,
12.935000000000002,,3.274907458505127,-4.098806359800641,False,,
12.940000000000001,,3.2762688655507635,-4.10060549436028,False,,
12.945,,3.2776303555344475,-4.10240449961435,False,,
12.95,,3.2789919284586,-4.104203375566813,False,,
12.955000000000002,,3.28035358432564,-4.106002122221632,False,,
12.96,,3.281715323137984,-4.107800739582762,False,,
12.965,,3.2830771448980505,-4.109599227654167,False,,
12.969999999999999,,3.2844390496082623,-4.111397586439805,False,,
12.975000000000001,,3.2858010372710336,-4.113195815943637,False,,
12.98,,3.2871631078887855,-4.114993916169624,False,,
12.985,,3.2885252614639366,-4.116791887121723,False,,
12.990000000000002,,3.2898874979989072,-4.118589728803894,False,,
12.995000000000001,,3.291249817496113,-4.120387441220098,False,,
13.0,,3.2926122199579773,-4.122185024374294,False,,
13.004999999999999,,3.2939747053869164,-4.123982478270442,False,,
13.010000000000002,,3.295337273785351,-4.125779802912502,False,,
13.015,,3.296699925155699,-4.1275769983044315,False,,
13.02,,3.2980626595003812,-4.129374064450191,False,,
13.025000000000002,,3.299425476821817,-4.131171001353742,False,,
13.030000000000001,,3.300788377122423,-4.132967809019039,False,,
13.035,,3.302151360404622,-4.1347644874500435,False,,
13.04,,3.303514426670831,-4.136561036650716,False,,
13.045000000000002,,3.3048775759234728,-4.1383574566250125,False,,
13.05,,3.3062408081649624,-4.140153747376891,False,,
13.055,,3.3076041233977227,-4.141949908910314,False,,
13.060000000000002,,3.308967521624173,-4.1437459412292394,False,,
13.065000000000001,,3.3103310028467305,-4.1455418443376235,False,,
13.07,,3.3116945670678186,-4.147337618239428,False,,
13.075,,3.313058214289855,-4.149133262938607,False,,
13.080000000000002,,3.314421944515261,-4.150928778439123,False,,
13.085,,3.315785757746453,-4.152724164744932,False,,
13.09,,3.317149653985855,-4.154519421859992,False,,
13.094999999999999,,3.3185136332358858,-4.156314549788265,False,,
13.100000000000001,,3.3198776954989633,-4.158109548533704,False,,
13.105,,3.3212418407775104,-4.159904418100269,False,,
13.11,,3.3226060690739456,-4.161699158491919,False,,
13.115000000000002,,3.3239703803906897,-4.163493769712611,False,,
13.120000000000001,,3.325334774730163,-4.165288251766302,False,,
13.125,,3.3266992520947856,-4.16708260465695,False,,
13.129999999999999,,3.3280638124869757,-4.1688768283885125,False,,
13.135000000000002,,3.3294284559091576,-4.17067092296495,False,,
13.14,,3.330793182363748,-4.172464888390216,False,,
13.145,,3.3321579918531703,-4.174258724668269,False,,
13.150000000000002,,3.333522884379844,-4.1760524318030665,False,,
