variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,1.000000000000e-01,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.088394144545e+00
dt_s,epsilon,1.000000000000e-01,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-7.602298020574e-07
dt_s,epsilon,1.000000000000e-01,0,3.000000000000e-13,1.000000000000e-13,abs_R16,9.166116198888e-07
dt_s,epsilon,1.000000000000e-01,0,3.000000000000e-13,1.000000000000e-13,abs_R26,1.109969738398e-06
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.999488785250e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,abs_R16,1.999847043738e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,abs_R26,1.999770865657e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999444984386e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.994080890089e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-11,3.000000000000e-12,abs_R16,1.990471476930e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-11,3.000000000000e-12,abs_R26,1.987036636154e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,1.993629905474e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-12,1.000000000000e-12,scaled_max_error,2.012574917853e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-12,1.000000000000e-12,abs_R16,1.976765154245e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-12,1.000000000000e-12,abs_R26,1.973721290317e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.008170740561e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-12,3.000000000000e-13,scaled_max_error,1.992795368703e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-12,3.000000000000e-13,abs_R16,1.695958418603e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-12,3.000000000000e-13,abs_R26,1.452864624882e+00
dt_s,epsilon,1.000000000000e-06,1,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,1.827716189881e+00
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-13,1.000000000000e-13,scaled_max_error,7.712507566091e-01
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-13,1.000000000000e-13,abs_R16,7.660452351281e-01
dt_s,epsilon,1.000000000000e-06,1,3.000000000000e-13,1.000000000000e-13,abs_R26,8.538648106362e-01
dt_s,epsilon,3.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.999384690198e+00
dt_s,epsilon,3.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,abs_R16,1.994455881447e+00
dt_s,epsilon,3.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,abs_R26,1.994533321749e+00
dt_s,epsilon,3.000000000000e-06,1,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.999340894969e+00
