variable,fixed_variable,fixed_value,richardson_levels,coarse,fine,metric,order
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-4.040209191176e-01
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R16,5.740434795271e-01
dt_s,epsilon,1.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R26,8.800143552773e-02
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,1.962846130255e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.981424036393e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.984621615187e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.955443103975e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,2.082196612929e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R16,1.931434180170e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,abs_R26,1.938743005226e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-11,3.000000000000e-12,difference_from_finest_dt,2.000614474384e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,scaled_max_error,1.620739471532e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R16,1.567504327053e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,abs_R26,1.625858299837e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-12,1.000000000000e-12,difference_from_finest_dt,2.004318546449e+00
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,scaled_max_error,4.055561673281e-01
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R16,6.369951607364e-01
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,abs_R26,6.116933680467e-01
dt_s,epsilon,3.000000000000e-04,0,1.000000000000e-12,3.000000000000e-13,difference_from_finest_dt,2.087301169964e+00
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,scaled_max_error,-8.381078461157e-02
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R16,6.642960507288e-02
dt_s,epsilon,3.000000000000e-04,0,3.000000000000e-13,1.000000000000e-13,abs_R26,2.631349093197e-01
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,scaled_max_error,2.041913960391e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R16,1.924698944131e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,abs_R26,1.936160210724e+00
dt_s,epsilon,1.000000000000e-03,0,3.000000000000e-11,1.000000000000e-11,difference_from_finest_dt,1.955664914380e+00
dt_s,epsilon,1.000000000000e-03,0,1.000000000000e-11,3.000000000000e-12,scaled_max_error,1.583947202018e+00
