time_s,position_error_m,momentum_error
6.3754524514590425e-06,2.3151624867211162e-05,1.1340547774579822e-05
6.416584402758588e-06,2.227247108449514e-05,2.7468826308241645e-06
6.457716354058133e-06,2.4142081115195714e-05,5.527848378472256e-07
6.498848305357679e-06,2.2445968789628736e-05,8.734157935489873e-07
6.539980256657224e-06,2.4335046450486496e-05,1.181707318170029e-05
6.58111220795677e-06,2.261533059925609e-05,1.1315751175065058e-05
6.622244159256315e-06,2.3267097260257708e-05,5.354640812778181e-07
6.663376110555861e-06,2.3982260180923425e-05,4.873879632585078e-07
6.704508061855406e-06,2.3989178125476636e-05,5.102878165246625e-06
6.745640013154952e-06,2.4655114451913713e-05,1.197154723456848e-05
6.786771964454497e-06,2.208656632794125e-05,2.9244954091444093e-06
6.8279039157540425e-06,2.4972241136027837e-05,6.779099172614189e-07
6.869035867053588e-06,2.3043843139075277e-05,8.901277459057341e-07
6.910167818353133e-06,2.498665965388826e-05,1.2296710950257321e-05
6.951299769652679e-06,2.352868147944564e-05,1.1435658022790675e-05
6.992431720952224e-06,2.2987635501540313e-05,6.834351327276823e-07
7.03356367225177e-06,2.473167788689492e-05,6.08248833320765e-07
7.074695623551315e-06,2.2557018953864378e-05,5.592547229724715e-06
7.115827574850861e-06,2.565101377161621e-05,1.2358226480360219e-05
7.156959526150406e-06,2.1727759517802994e-05,2.9285014915956526e-06
7.198091477449952e-06,2.5556623173111865e-05,8.423832841908988e-07
7.239223428749497e-06,2.2937421695248627e-05,1.167982086747735e-06
7.2803553800490425e-06,2.524128334132364e-05,1.2501016246985009e-05
7.321487331348588e-06,2.5050726373206194e-05,1.1962784588747771e-05
7.362619282648133e-06,2.230191565333821e-05,9.117783064731057e-07
7.403751233947679e-06,2.571325159037343e-05,7.379993050023728e-07
7.444883185247224e-06,2.2780825118762194e-05,6.409162437770402e-06
7.48601513654677e-06,2.6078951728194714e-05,1.2646213238836116e-05
7.527147087846315e-06,2.2235125682051243e-05,2.783070157190591e-06
7.568279039145861e-06,2.526483872714035e-05,8.854399630325775e-07
7.609410990445406e-06,2.309386832224151e-05,1.1410310262626142e-06
7.650542941744952e-06,2.5211650638004604e-05,1.2585444422212004e-05
7.691674893044497e-06,2.486786486492236e-05,1.2150289006674199e-05
7.732806844344042e-06,2.3226105027891922e-05,7.740741919843233e-07
7.773938795643588e-06,2.53070561617055e-05,6.93541212987535e-07
7.815070746943133e-06,2.422872573631909e-05,7.367275766310718e-06
7.856202698242679e-06,2.536983851924472e-05,1.2750490761672155e-05
7.897334649542224e-06,2.3904554787570447e-05,2.496338861844127e-06
7.93846660084177e-06,2.56110861626811e-05,7.267111102914429e-07
7.979598552141315e-06,2.4469872223996234e-05,9.503082910443452e-07
8.02073050344086e-06,2.59167514588757e-05,1.2928128515721725e-05
8.061862454740406e-06,2.430916666869022e-05,1.2792450177122914e-05
8.102994406039952e-06,2.6473863883643513e-05,6.945040781441738e-07
8.144126357339497e-06,2.5143135477518984e-05,7.732638889828401e-07
8.185258308639042e-06,2.8449035245331777e-05,9.299106845824968e-06
8.226390259938588e-06,2.6201323257582237e-05,1.366196055635873e-05
8.267522211238133e-06,2.757204009205415e-05,2.231459764923809e-06
8.308654162537679e-06,2.7336072790985845e-05,6.709180313149072e-07
8.349786113837224e-06,2.7877398071847885e-05,7.846685876247082e-07
8.39091806513677e-06,2.8901350196376902e-05,1.4489530328007013e-05
8.432050016436315e-06,2.6584580770448096e-05,1.4228464964679758e-05
8.47318196773586e-06,3.0159465487690948e-05,7.853095007841622e-07
8.514313919035406e-06,2.8040484553025558e-05,8.050763658268152e-07
8.555445870334952e-06,3.1292524027747666e-05,1.1772113895064455e-05
8.596577821634497e-06,2.975088219900687e-05,1.5204347700372199e-05
8.637709772934042e-06,2.9239256673307214e-05,2.491070576727721e-06
8.678841724233588e-06,2.999978642196094e-05,6.923051107617039e-07
8.719973675533133e-06,2.9123110113499277e-05,1.1334052184783357e-06
8.761105626832679e-06,3.180215696717001e-05,1.5683145270902318e-05
8.802237578132224e-06,2.6990277541284735e-05,1.5031921072276244e-05
8.84336952943177e-06,3.1991033578206485e-05,1.1184036398562278e-06
8.884501480731315e-06,2.7269161525355238e-05,1.2283572331664434e-06
8.92563343203086e-06,3.2353724313914693e-05,1.3044566754538355e-05
8.966765383330406e-06,2.663872011926935e-05,1.446110002000907e-05
9.007897334629952e-06,3.0669116405793954e-05,1.5393720345076915e-06
9.049029285929497e-06,2.8300948029038183e-05,1.0377610035427894e-06
9.090161237229042e-06,3.1447045682503054e-05,7.526869099198386e-07
9.131293188528588e-06,3.0432581971125245e-05,1.5469177689894903e-05
9.172425139828133e-06,2.8940516490456795e-05,1.6186367169535187e-05
9.213557091127679e-06,3.265588956453358e-05,8.732860715480788e-07
9.254689042427224e-06,2.8580891885019354e-05,9.55113551598957e-07
9.29582099372677e-06,3.286173354402161e-05,1.4664038864129483e-05
9.336952945026315e-06,2.737896291691797e-05,1.5639178584079244e-05
9.37808489632586e-06,3.2900017415290035e-05,1.007188666746543e-06
9.419216847625406e-06,2.7298375208638355e-05,1.4671558741491078e-06
9.460348798924952e-06,3.485632729273508e-05,9.343025258870712e-07
9.501480750224497e-06,2.8268233690850753e-05,1.5502847223433873e-05
9.542612701524042e-06,3.1924596439917456e-05,1.6693552355612215e-05
9.583744652823588e-06,3.0286961662213333e-05,9.90202142961614e-07
9.624876604123133e-06,3.178453714214626e-05,9.631654786932563e-07
9.666008555422679e-06,3.066856761242313e-05,1.4917456355805892e-05
9.707140506722224e-06,2.9646122516160083e-05,1.657544524643101e-05
9.74827245802177e-06,3.328028769799972e-05,1.0826766132679307e-06
9.789404409321315e-06,2.7659985139196717e-05,1.2123960158083882e-06
9.83053636062086e-06,3.3995996235334627e-05,8.080684385105827e-07
9.871668311920406e-06,2.855597689181207e-05,1.620906058595242e-05
9.912800263219952e-06,3.475163941335142e-05,1.7077301215130057e-05
9.953932214519497e-06,2.937947986862453e-05,1.7117003417326858e-06
9.995064165819042e-06,3.616897814792928e-05,1.610652270100436e-06
1.0036196117118588e-05,2.9645913016008942e-05,1.5746275859141893e-05
1.0077328068418133e-05,3.423109138894199e-05,1.8189426268646213e-05
1.0118460019717679e-05,3.1669332066369374e-05,2.1438037431018018e-06
1.0159591971017224e-05,3.295408501191463e-05,1.138836812677639e-06
1.020072392231677e-05,3.20708914914577e-05,1.662837574060633e-06
1.0241855873616315e-05,3.037470945243386e-05,1.6863796861968054e-05
1.028298782491586e-05,3.3945632568383926e-05,1.5849105285000147e-05
1.0324119776215406e-05,2.8796181722097297e-05,1.4052515437068384e-06
1.0365251727514952e-05,3.492970633032789e-05,1.2889338745496233e-06
1.0406383678814497e-05,3.0435353973524516e-05,1.6376665573134455e-05
1.0447515630114042e-05,3.640515626452956e-05,1.771090673955638e-05
1.0488647581413588e-05,2.8391711644255514e-05,3.3429766107568875e-06
1.0529779532713133e-05,3.757486127677773e-05,2.19159589170898e-06
1.0570911484012679e-05,2.88776731682343e-05,2.9918532216300376e-06
1.0612043435312224e-05,3.8141766693425015e-05,1.8771659112793147e-05
1.065317538661177e-05,2.9187985533421057e-05,1.6531715765023797e-05
1.0694307337911315e-05,3.692710203665358e-05,2.22566636931736e-06
1.073543928921086e-05,2.8050127418242594e-05,2.4302559393458505e-06
1.0776571240510406e-05,3.8298685290424754e-05,1.7974885391693912e-05
1.0817703191809952e-05,3.052676699096102e-05,1.6417894710595832e-05
1.0858835143109497e-05,3.4432132617752526e-05,1.0824906257850098e-06
1.0899967094409042e-05,3.149630679413484e-05,1.4452337445196045e-06
1.0941099045708588e-05,3.642284594423446e-05,9.357393527001983e-07
1.0982230997008133e-05,3.254034190230673e-05,1.6859889683352176e-05
1.1023362948307679e-05,3.2711158434793394e-05,1.8932095335717508e-05
1.1064494899607224e-05,3.535328729369665e-05,9.307232255085312e-07
1.110562685090677e-05,3.390497527747219e-05,9.727985452457562e-07
1.1146758802206315e-05,3.518387904909043e-05,1.769382130931858e-05
1.118789075350586e-05,3.161996951458735e-05,1.9091442007046633e-05
1.1229022704805406e-05,3.858403576343561e-05,9.321141882109799e-07
1.1270154656104952e-05,3.119638570912594e-05,1.5864171654036718e-06
1.1311286607404497e-05,3.8876820746373613e-05,1.0589605377610462e-06
1.1352418558704042e-05,3.0318332619497405e-05,1.8467202232305346e-05
1.1393550510003588e-05,4.008649282764657e-05,1.7603733664470583e-05
1.1434682461303133e-05,2.8636279469130863e-05,2.5914444429189998e-06
1.1475814412602679e-05,4.027085895829728e-05,2.4552203688824313e-06
1.1516946363902224e-05,2.969061804950242e-05,1.7745483925188042e-05
1.155807831520177e-05,3.893435071085154e-05,1.9578721056353807e-05
1.1599210266501315e-05,2.8773269244189973e-05,3.7024570810068506e-06
1.164034221780086e-05,3.8961171169142244e-05,3.0260212898091858e-06
1.1681474169100406e-05,2.8232812433177912e-05,3.9396666221177105e-06
1.1722606120399952e-05,3.943978083610839e-05,1.990587344187772e-05
1.1763738071699497e-05,3.084614696241617e-05,1.631750099224536e-05
1.1804870022999042e-05,3.7496837393499806e-05,2.350195619016423e-06
1.1846001974298588e-05,3.078550360344208e-05,2.384285402307819e-06
1.1887133925598133e-05,3.896644628814625e-05,1.9166767164335807e-05
1.1928265876897679e-05,3.191642881706296e-05,1.6996104371765606e-05
1.1969397828197224e-05,3.4269419693534964e-05,1.0407849093556978e-06
1.201052977949677e-05,3.2680420265246485e-05,1.5002369932714896e-06
1.2051661730796315e-05,3.879311977119388e-05,9.8383637098562e-07
1.209279368209586e-05,3.487336057021857e-05,1.8403018850729473e-05
1.2133925633395406e-05,3.477789092065135e-05,1.947351471583948e-05
1.2175057584694952e-05,3.602263953919351e-05,1.0352647631309e-06
1.2216189535994497e-05,3.515318863835278e-05,1.0570318804197775e-06
1.2257321487294042e-05,3.538691134367024e-05,1.811259400735206e-05
1.2298453438593588e-05,3.359048570441416e-05,2.0680386230510948e-05
1.2339585389893133e-05,3.911925335789392e-05,1.0024394501358519e-06
1.2380717341192679e-05,3.28637423604732e-05,1.1278614946398687e-06
1.2421849292492224e-05,3.8080189627569684e-05,2.0277713942869804e-06
1.246298124379177e-05,3.378632379143402e-05,2.0410586563490446e-05
1.2504113195091315e-05,4.0990584220547745e-05,1.5799050454384647e-05
1.254524514639086e-05,3.117852444727392e-05,1.951274102694418e-06
1.2586377097690406e-05,3.987410780451791e-05,1.4532920570265147e-06
