time_s,position_error_m,momentum_error
1.460184271144008e-06,2.931996662998708e-06,1.3354602818417299e-06
1.4807502467939924e-06,3.0855908543066283e-06,3.9988554329110395e-08
1.5013162224439769e-06,3.1508482422857714e-06,1.2805850613395463e-06
1.5218821980939614e-06,2.9123597774729395e-06,3.128018932065994e-07
1.5424481737439458e-06,2.8556535966418018e-06,1.059125985106315e-07
1.5630141493939303e-06,3.085878671457524e-06,1.4500796592586543e-06
1.5835801250439148e-06,3.477382942839877e-06,2.6295667071827923e-08
1.6041461006938993e-06,3.5956854816568426e-06,4.7592309091664066e-07
1.6247120763438838e-06,3.27858337846226e-06,1.0244565932841146e-06
1.6452780519938683e-06,3.2179303581951136e-06,8.81022410500368e-08
1.6658440276438528e-06,3.363649782513665e-06,1.6135792523071486e-06
1.6864100032938372e-06,3.6938913910101455e-06,4.237639573703678e-08
1.7069759789438217e-06,3.819804216018789e-06,1.6896163820822964e-07
1.7275419545938062e-06,3.739399071820458e-06,1.7219588100074277e-06
1.7481079302437907e-06,3.5243227855202902e-06,6.544136534696848e-08
1.7686739058937752e-06,3.609216675857041e-06,1.7223009314754331e-06
1.7892398815437597e-06,3.870877321505914e-06,1.4673579477149248e-07
1.8098058571937442e-06,4.07591360158043e-06,5.773024046291059e-08
1.8303718328437286e-06,3.90056134617279e-06,1.79983597088025e-06
1.8509378084937131e-06,3.755617904168485e-06,7.488446476152983e-08
1.8715037841436976e-06,3.872950675078952e-06,1.6698719312378069e-06
1.892069759793682e-06,4.088077593806763e-06,3.7700038035707977e-07
1.912635735443612e-06,4.239911508238763e-06,3.224326437171624e-08
1.933201711093385e-06,4.138738106045031e-06,1.919482766675651e-06
1.9537676867431576e-06,3.939850171605165e-06,9.077066248838292e-08
1.9743336623929303e-06,4.014443245541522e-06,5.922366239421799e-07
1.994899638042703e-06,4.3008208153071166e-06,1.3811053325181233e-06
2.015465613692476e-06,4.394665311377176e-06,2.950017489098904e-08
2.0360315893422485e-06,4.240519583104947e-06,1.9587652503972264e-06
2.0565975649920213e-06,4.161511731440131e-06,1.379768435006506e-07
2.077163540641794e-06,4.257174595426144e-06,2.535187071518014e-07
2.0977295162915667e-06,4.4577996885944075e-06,2.042405190028046e-06
2.1182954919413394e-06,4.6599352860196846e-06,3.293438447835142e-08
2.138861467591112e-06,4.63006831818245e-06,2.120465593598837e-06
2.159427443240885e-06,4.34715096602382e-06,2.3816476926056745e-07
2.1799934188906576e-06,4.4480413687055324e-06,1.4962479962488858e-07
2.2005593945404303e-06,4.6458891309194145e-06,2.164116432811469e-06
2.221125370190203e-06,4.782735015258753e-06,2.183359316604869e-08
2.241691345839976e-06,4.8915834073132425e-06,2.1288074630887368e-06
2.2622573214897485e-06,4.6544964366065945e-06,4.833856112863445e-07
2.2828232971395213e-06,4.655540610171374e-06,1.068849247779562e-07
2.303389272789294e-06,4.692567777940057e-06,2.217246453306478e-06
2.3239552484390667e-06,4.91066298218037e-06,2.711150867543297e-08
2.3445212240888394e-06,5.0315863550455975e-06,8.302556334627242e-07
2.365087199738612e-06,4.784543594219105e-06,1.6227282857600579e-06
2.385653175388385e-06,4.774404351566898e-06,7.521584790723239e-08
2.4062191510381576e-06,4.9863797705186e-06,2.3514576480595387e-06
2.4267851266879303e-06,5.058897402704668e-06,8.013311698733403e-08
2.447351102337703e-06,5.156724123417518e-06,2.7909427906767794e-07
2.467917077987476e-06,5.047932700795708e-06,2.3729889726134833e-06
2.4884830536372485e-06,4.993067666740922e-06,6.721924181627606e-08
2.5090490292870213e-06,5.229940383029738e-06,2.455248000454764e-06
2.529615004936794e-06,5.373119885039245e-06,1.9213345800230815e-07
2.5501809805865667e-06,5.400997050311515e-06,1.2645632489079598e-07
2.5707469562363394e-06,5.237793946492071e-06,2.4693910981567406e-06
2.591312931886112e-06,5.310751541365568e-06,5.830664274407834e-08
2.611878907535885e-06,5.467186886167233e-06,2.3839158122569897e-06
2.6324448831856576e-06,5.533318840702578e-06,5.258114923844462e-07
2.6530108588354303e-06,5.522384926563623e-06,6.920155312206352e-08
2.673576834485203e-06,5.46271146557594e-06,2.5669690994621284e-06
2.694142810134976e-06,5.357401386582768e-06,7.873143488803493e-08
2.7147087857847485e-06,5.4448666365086855e-06,8.4646557029785e-07
2.7352747614345213e-06,5.5444851381485265e-06,1.8785866537767818e-06
2.755840737084294e-06,5.6319097412508665e-06,4.270627183892435e-08
2.7764067127340667e-06,5.50264181889632e-06,2.5887405115059836e-06
2.7969726883838394e-06,5.499812501262096e-06,1.4290970710536388e-07
2.817538664033612e-06,5.697502283738998e-06,3.223756908882392e-07
2.838104639683385e-06,5.799543985029152e-06,2.687669052568908e-06
2.8586706153331576e-06,5.904682492315424e-06,3.254527163744702e-08
2.8792365909829303e-06,5.882273587612358e-06,2.7744946419345575e-06
2.899802566632703e-06,5.79875843708018e-06,2.9577626867295723e-07
2.920368542282476e-06,6.065449220595207e-06,1.4420410229888782e-07
2.9409345179322485e-06,6.259848990871901e-06,2.9013619632108376e-06
2.9615004935820213e-06,6.110848089518695e-06,3.862718485602375e-08
2.982066469231794e-06,5.972391457821717e-06,2.628873502061454e-06
3.0026324448815667e-06,5.978727504836124e-06,7.194788676361439e-07
3.0231984205313394e-06,6.135654617147723e-06,7.378098028370034e-08
3.043764396181112e-06,6.312438253331127e-06,2.9441668031647594e-06
3.064330371830885e-06,6.324153705804452e-06,4.407938792797334e-08
3.0848963474806576e-06,6.195662026723493e-06,9.550867822819795e-07
3.1054623231304303e-06,6.144849084484574e-06,2.515335449706252e-06
3.126028298780203e-06,6.281866584127758e-06,3.703096820249633e-08
3.146594274429976e-06,6.3968906116052606e-06,2.9958589463783534e-06
3.1671602500797485e-06,6.296458241871201e-06,1.2473286883397962e-07
3.1877262257295212e-06,6.289690642745398e-06,3.737988147616561e-07
3.208292201379294e-06,6.457599975869261e-06,3.03965410857326e-06
3.2288581770290667e-06,6.500341580764505e-06,1.174416616912375e-08
3.2494241526788394e-06,6.515071671839998e-06,3.04770441451577e-06
3.269990128328612e-06,6.502023023319929e-06,3.0118389404955613e-07
3.290556103978385e-06,6.600544316536401e-06,1.6207017463626176e-07
3.3111220796281576e-06,6.70108448290572e-06,3.142136220116715e-06
3.3316880552779303e-06,6.80033567162964e-06,1.0144995603979883e-08
3.352254030927703e-06,6.766107147173044e-06,3.0052826075882385e-06
3.372820006577476e-06,6.616182042722387e-06,7.50381983185509e-07
3.3933859822272485e-06,6.799286537935747e-06,8.750292861058912e-08
3.4139519578770212e-06,7.0427694963577774e-06,3.298687521417563e-06
3.434517933526794e-06,6.979406121397939e-06,4.0779489966448523e-08
3.4550839091765667e-06,6.931887971391207e-06,1.0983654032735297e-06
3.4756498848263394e-06,6.808921300713568e-06,2.754926614837003e-06
3.496215860476112e-06,6.908380835696878e-06,5.472360985725709e-08
3.516781836125885e-06,7.0703758810810045e-06,3.3313182898603533e-06
3.5373478117756576e-06,7.190181313349132e-06,1.1324361096258582e-07
3.5579137874254303e-06,7.105811923013041e-06,4.075970750208097e-07
3.578479763075203e-06,6.98792062610619e-06,3.3462743730856123e-06
3.599045738724976e-06,7.290594539940401e-06,4.3704362524247546e-08
3.6196117143747485e-06,7.549273619153593e-06,3.51504084690653e-06
3.6401776900245212e-06,7.410222413356895e-06,2.9276682861568006e-07
3.660743665674294e-06,7.227503421364584e-06,2.267608589095416e-07
3.6813096413240667e-06,7.168698086705378e-06,3.4781651659678344e-06
3.7018756169738394e-06,7.440727038899742e-06,4.962257396572031e-08
3.722441592623612e-06,7.669384368136829e-06,3.2288101633196275e-06
3.743007568273385e-06,7.534345021689692e-06,8.523320802555545e-07
3.7635735439231576e-06,7.3635988839452206e-06,1.4319102836526075e-07
3.7841395195729303e-06,7.384998374198977e-06,3.578834983208926e-06
3.804705495222703e-06,7.813514974587941e-06,2.395226640821581e-08
3.825271470872476e-06,8.008593865176197e-06,9.578525854197362e-07
3.8458374465222485e-06,7.431357413262481e-06,3.1158915263422666e-06
3.866403422172021e-06,7.0752796148777106e-06,1.9519518030814282e-07
3.886969397821794e-06,7.340986244573823e-06,3.6073692053226962e-06
3.907535373471567e-06,8.017634687916226e-06,3.84462388720313e-08
3.9281013491213394e-06,8.066272591978734e-06,2.631895058435373e-07
3.948667324771112e-06,7.425574691195117e-06,3.5761202526692964e-06
3.969233300420885e-06,6.907578248634714e-06,2.025656089081633e-07
3.989799276070658e-06,7.3384396514983805e-06,3.6246744739483705e-06
4.01036525172043e-06,8.246885447932621e-06,1.9486964190737837e-07
4.030931227370203e-06,8.13924292725582e-06,6.44903623885143e-08
